IPV4_SRC_ADDR#IPV4_DST_ADDR#L4_SRC_PORT#L4_DST_PORT#PROTOCOL#L7_PROTO#IN_BYTES#OUT_BYTES#IN_PKTS#OUT_PKTS#FLOW_DURATION_MILLISECONDS#TCP_FLAGS#CLIENT_TCP_FLAGS#SERVER_TCP_FLAGS#DURATION_IN#DURATION_OUT#MIN_TTL#MAX_TTL#LONGEST_FLOW_PKT#SHORTEST_FLOW_PKT#MIN_IP_PKT_LEN#MAX_IP_PKT_LEN#SRC_TO_DST_SECOND_BYTES#DST_TO_SRC_SECOND_BYTES#RETRANSMITTED_IN_BYTES#RETRANSMITTED_IN_PKTS#RETRANSMITTED_OUT_BYTES#RETRANSMITTED_OUT_PKTS#SRC_TO_DST_AVG_THROUGHPUT#DST_TO_SRC_AVG_THROUGHPUT#NUM_PKTS_UP_TO_128_BYTES#NUM_PKTS_128_TO_256_BYTES#NUM_PKTS_256_TO_512_BYTES#NUM_PKTS_512_TO_1024_BYTES#NUM_PKTS_1024_TO_1514_BYTES#TCP_WIN_MAX_IN#TCP_WIN_MAX_OUT#ICMP_TYPE#ICMP_IPV4_TYPE#DNS_QUERY_ID#DNS_QUERY_TYPE#DNS_TTL_ANSWER#FTP_COMMAND_RET_CODE#FLOW_START_MILLISECONDS#FLOW_END_MILLISECONDS#SRC_TO_DST_IAT_MIN#SRC_TO_DST_IAT_MAX#SRC_TO_DST_IAT_AVG#SRC_TO_DST_IAT_STDDEV#DST_TO_SRC_IAT_MIN#DST_TO_SRC_IAT_MAX#DST_TO_SRC_IAT_AVG#DST_TO_SRC_IAT_STDDEV#TLS_VERSION#result#id#time_scaned#file_scaned
172.16.0.8#64.13.134.52#36050#443#6#91#44#0#1#0#0#2#2#0#0#0#0#0#44#44#0#44#44#,#0#0#0#0#352000#0#1#0#0#0#0#3072#0#0#0#0#0#0#0#1278275056274#1278275056274#0#0#0#0#0#0#0#0#0#Benign#29ede40b502247338b9a3bfa06548d68#2025-12-28 16:55:13#290b8cff5d73431184609d39e9c43f47_synscan.pcapng
172.16.0.8#64.13.134.52#36051#23#6#77#44#0#1#0#0#2#2#0#0#0#0#0#44#44#0#44#44#,#0#0#0#0#352000#0#1#0#0#0#0#2048#0#0#0#0#0#0#0#1278275057477#1278275057477#0#0#0#0#0#0#0#0#0#Benign#d381b88578704854a394bcf9df91f51e#2025-12-28 16:55:13#290b8cff5d73431184609d39e9c43f47_synscan.pcapng
172.16.0.8#64.13.134.52#36050#143#6#4#44#0#1#0#0#2#2#0#0#0#0#0#44#44#0#44#44#,#0#0#0#0#352000#0#1#0#0#0#0#3072#0#0#0#0#0#0#0#1278275056276#1278275056276#0#0#0#0#0#0#0#0#0#Benign#9a802ffcba124b3dac6343a4d321b22f#2025-12-28 16:55:13#290b8cff5d73431184609d39e9c43f47_synscan.pcapng
172.16.0.8#64.13.134.52#36050#3306#6#20#44#0#1#0#0#2#2#0#0#0#0#0#44#44#0#44#44#,#0#0#0#0#352000#0#1#0#0#0#0#2048#0#0#0#0#0#0#0#1278275056276#1278275056276#0#0#0#0#0#0#0#0#0#Benign#7145acdc768946ea81a55d3acf13b483#2025-12-28 16:55:13#290b8cff5d73431184609d39e9c43f47_synscan.pcapng
172.16.0.8#64.13.134.52#36050#199#6#0#44#0#1#0#0#2#2#0#0#0#0#0#44#44#0#44#44#,#0#0#0#0#352000#0#1#0#0#0#0#3072#0#0#0#0#0#0#0#1278275056276#1278275056276#0#0#0#0#0#0#0#0#0#Benign#9cbcb2be29ca4147bbb3066ab34b336d#2025-12-28 16:55:13#290b8cff5d73431184609d39e9c43f47_synscan.pcapng
172.16.0.8#64.13.134.52#36050#111#6#0#44#0#1#0#0#2#2#0#0#0#0#0#44#44#0#44#44#,#0#0#0#0#352000#0#1#0#0#0#0#1024#0#0#0#0#0#0#0#1278275056276#1278275056276#0#0#0#0#0#0#0#0#0#Benign#f5fa9cfaa4864062ad2ab86da9110221#2025-12-28 16:55:13#290b8cff5d73431184609d39e9c43f47_synscan.pcapng
172.16.0.8#64.13.134.52#36050#1025#6#0#44#0#1#0#0#2#2#0#0#0#0#0#44#44#0#44#44#,#0#0#0#0#352000#0#1#0#0#0#0#4096#0#0#0#0#0#0#0#1278275056276#1278275056276#0#0#0#0#0#0#0#0#0#Benign#b63cb126d5af40a898451540ca100435#2025-12-28 16:55:13#290b8cff5d73431184609d39e9c43f47_synscan.pcapng
172.16.0.8#64.13.134.52#36050#995#6#23#44#0#1#0#0#2#2#0#0#0#0#0#44#44#0#44#44#,#0#0#0#0#352000#0#1#0#0#0#0#1024#0#0#0#0#0#0#0#1278275056276#1278275056276#0#0#0#0#0#0#0#0#0#Benign#0f4322d7e2e749f19375a52c85b4e6f2#2025-12-28 16:55:13#290b8cff5d73431184609d39e9c43f47_synscan.pcapng
172.16.0.8#64.13.134.52#36050#587#6#3#44#0#1#0#0#2#2#0#0#0#0#0#44#44#0#44#44#,#0#0#0#0#352000#0#1#0#0#0#0#1024#0#0#0#0#0#0#0#1278275056276#1278275056276#0#0#0#0#0#0#0#0#0#Benign#1294884c801c467098fe42f99061c426#2025-12-28 16:55:13#290b8cff5d73431184609d39e9c43f47_synscan.pcapng
172.16.0.8#64.13.134.52#36050#5900#6#89#44#0#1#0#0#2#2#0#0#0#0#0#44#44#0#44#44#,#0#0#0#0#352000#0#1#0#0#0#0#1024#0#0#0#0#0#0#0#1278275056276#1278275056276#0#0#0#0#0#0#0#0#0#Benign#9c33f8889a6d44bc904e6134b13d2f4a#2025-12-28 16:55:13#290b8cff5d73431184609d39e9c43f47_synscan.pcapng
